"play ID","game ID","game name",date,location,length,comments,"player 1 username","player 1 name","player 1 startposition","player 1 color","player 1 score","player 1 new","player 1 win","player 2 username","player 2 name","player 2 startposition","player 2 color","player 2 score","player 2 new","player 2 win","player 3 username","player 3 name","player 3 startposition","player 3 color","player 3 score","player 3 new","player 3 win","player 4 username","player 4 name","player 4 startposition","player 4 color","player 4 score","player 4 new","player 4 win","player 5 username","player 5 name","player 5 score","player 5 new","player 5 win","player 6 username","player 6 name","player 6 score","player 6 new","player 6 win","player 7 name","player 7 win","player 8 username","player 8 name","player 8 new"
84911555,357563,Akropolis,2024-05-19,H.,,,,Bart,,,110,,,Boelerino,Martijn,,,89,,,Excali8ur,Rianne,,,148,,1,Keukenprinses,Sabrina,,,99,,,,,,,,,,,,,,,,,
84917860,287589,"Red Outpost",2024-05-19,Home,,,,Bart,,,19,,,,Martijn,,,26,1,1,Excali8ur,Rianne,,,17,,,,Sabrina,,,26,1,1,,,,,,,,,,,,,,,
85113774,359962,Redwood,2024-05-26,H.,,,,Bart,,,70,,,Boelerino,Martijn,,,49,,,Excali8ur,Rianne,,,50,,,Keukenprinses,Sabrina,,,77,,1,,,,,,,,,,,,,,,
85320485,378001,"Moon River",2024-05-31,H.,,,,Marcha,,,269,1,1,Excali8ur,Rianne,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85320537,201808,"Clank!: A Deck-Building Adventure",2024-05-31,D.,,,,"Anonymous player",,,71,,,,"Anonymous player",,,73,,,,Bart,,,96,,1,,,,,,,,,,,,,,,,,,,,,,
85364618,36218,Dominion,2024-06-01,H.,,,,Bart,,,34,1,,Excali8ur,Rianne,,,39,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85366995,263236,Philosophy,2024-06-01,H.,,,,Bart,,,,1,,Excali8ur,Rianne,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85367012,263236,Philosophy,2024-05-31,H.,,,,Marcha,,,,1,1,Excali8ur,Rianne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85538058,372631,"Books of Time",2024-06-06,H.,,,,Bart,,,57,1,,,Margo,,,55,1,,Excali8ur,Rianne,,,73,1,1,,Sander,,,61,1,,,,,,,,,,,,,,,,
85562512,334065,Verdant,2024-06-07,H.,,,,"Anonymous player",,,68,,,,"Anonymous player",,,66,,,,Bart,,,72,1,,,Margo,,,64,1,,Excali8ur,Rianne,74,1,1,,,,,,,,,,
85636254,264055,Draftosaurus,2024-06-09,T.,,,,Bart,,,67,,,,Joep,,,69,,,Excali8ur,Rianne,,,72,,1,,"Tessa B",,,62,,,,,,,,,,,,,,,,,
85637765,340041,"Kingdomino Origins",2024-06-09,T.,,,,Bart,,,45,1,,,Joep,,,55,1,,Excali8ur,Rianne,,,85,1,1,,"Tessa B",,,48,1,,,,,,,,,,,,,,,,
85639652,340041,"Kingdomino Origins",2024-06-09,T.,,,,Bart,,,68,,,,Joep,,,75,,,Excali8ur,Rianne,,,79,,1,,"Tessa B",,,57,,,,,,,,,,,,,,,,,
85642364,245476,CuBirds,2024-06-09,T.,,,,Bart,,,,,1,,Joep,,,,,,Excali8ur,Rianne,,,,,,,"Tessa B",,,,,,,,,,,,,,,,,,,,
85657021,328866,"My Father's Work",2024-06-08,H.,,"1e generatie gespeeld.

Blacksmith killed, Henriete (butcher) saved

Fear of the Unknown",,Bart,,,,1,,Excali8ur,Rianne,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85770340,328866,"My Father's Work",2024-06-12,H.,,"Bloodsmith Forever ending unlocked",,Bart,,,91,,,Excali8ur,Rianne,,,98,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85853256,368305,"Life of the Amazonia",2024-06-15,H.,,,,Bart,,,81,,,Boelerino,Martijn,,,80,,,Excali8ur,Rianne,,,94,,,Keukenprinses,Sabrina,,,118,,1,,,,,,,,,,,,,,,
85857278,346703,"7 Wonders: Architects",2024-06-15,H.,,,,Bart,,,28,,,Boelerino,Martijn,,,33,,1,Excali8ur,Rianne,,,30,,,Keukenprinses,Sabrina,,,28,,,,,,,,,,,,,,,,,
85860456,344839,"Dog Lover",2024-06-15,H.,,,,Bart,,,26,,,Boelerino,Martijn,,,50,,1,Excali8ur,Rianne,,,45,,,Keukenprinses,Sabrina,,,44,,,,,,,,,,,,,,,,,
86096884,328866,"My Father's Work",2024-06-22,H.,,"Be Rid of Evil ending unlocked

Cost of the Disease",,Bart,,,114,,,Excali8ur,Rianne,,,121,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86314261,333373,"Tacocat Spelled Backwards",2024-06-29,H.,,,,Marcha,,,,1,,Excali8ur,Rianne,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
